row_id,planet_name,num_stars,num_planets,num_moons,orbital_period,radius_in_earth,mass_in_earth,planet_mass,eccentricity,equilibrium_temp_K,st_eff_temp_k,st_radius,st_mass
1,Earth,1,1,1,365,1,1,1,0.0034,255,5778,1,1
2,11 Com b,2,1,0,,,,5434.7,,,,,2.6
3,11 UMi b,1,1,0,516.21997,,,4684.8142,0.08,,4213,29.79,2.78
4,14 And b,1,1,0,186.76,,,1131.1513,0,,4888,11.55,1.78
5,14 Her b,1,2,0,1773.4,,,1474.67,0.369,,,,
6,16 Cyg B b,3,1,0,799.45,,,556.83537,0.6832,,5711.97,1.16,0.98
7,17 Sco b,1,1,0,578.38,,,1373.01872,0.06,,4157,25.92,1.22
8,18 Del b,2,1,0,993.3,,,3273.5,0.08,,4979,8.5,2.3
9,1RXS J160929.1-210524 b,1,1,0,,,4000,4000,,1700,4060,,0.85
10,24 Boo b,1,1,0,30.3506,,,289.2253,0.042,,4893,10.64,0.99
11,24 Sex b,1,2,0,452.8,,,632.46,0.09,,5098,4.9,1.54
12,24 Sex c,1,2,0,883,,,273.32,0.29,,5098,4.9,1.54
13,2M0437 b,1,1,0,,,1271.31363,1271.31363,,1450,3100,0.84,0.17
14,2MASS J01033563-5515561 AB b,2,1,0,,,4131.79,4131.79,,,,,0.19
15,2MASS J01225093-2439505 b,1,1,0,,11.209,,,,1600,3309,0.37,0.35
16,2MASS J02192210-3925225 b,1,1,0,,16.141,4417.837,4417.837,,,3064,0.28,0.11
17,2MASS J0249-0557 c,2,1,0,,,3686.80952,3686.80952,,,,,0.05
18,2MASS J03590986+2009361 b,1,1,0,,,5720.91133,5720.91133,,2369,,,
19,2MASS J04414489+2301513 b,1,1,0,,,2383.6,2383.6,,,,,0.02
20,2MASS J11011926-7732383 b,1,1,0,,,8899.1954,8899.1954,,2677,,,
21,2MASS J11550485-7919108 b,1,1,0,,,6356.56814,6356.56814,,2506,,,
22,2MASS J12073346-3932539 b,1,1,0,,,1589.15,1589.15,,1250,,,0.02
23,2MASS J19383260+4603591 b,2,3,0,406,,,591.16084,0.33,,29564,0.2,0.48
24,2MASS J21252752-8138278 b,1,1,0,,,3813.94088,3813.94088,,1616,,,
25,2MASS J22362452+4751425 b,1,1,0,,,3972.875,3972.875,,,4045,,0.6
26,30 Ari B b,4,1,0,335.1,,,3140.03,0.289,,6300,1.13,1.16
27,4 UMa b,1,1,0,270.27,,,2511.48007,0.453,,4415,18.11,1.23
28,42 Dra b,2,1,0,479.1,,,1233.13,0.38,,4200,22.03,0.98
29,47 UMa b,1,3,0,1076.6,,,778.6835,0.012,,5882,,1.06
30,47 UMa c,1,3,0,2391,,,171.621,0.098,,5872,1.21,1.06
31,47 UMa d,1,3,0,14002,,,521.22,0.16,,5872,1.21,1.06
32,51 Eri b,3,1,0,14965,,,,0.21,,7295,1.49,1.65
33,51 Peg b,1,1,0,4.23077,,,148.738,0,,,,
34,55 Cnc b,2,5,0,14.65162,,,261.881,0.014,,5250,0.96,0.9
35,55 Cnc c,2,5,0,44.3989,,,51.2,0.03,,5172,0.94,0.91
36,55 Cnc d,2,5,0,4867,,1226.77,1226.77,0.0269,,5250,0.96,0.9
37,55 Cnc e,2,5,0,0.7365474,1.875,7.99,7.99,0.05,,5172,0.94,0.91
38,55 Cnc f,2,5,0,259.88,,,47.8,0.08,,5172,0.94,0.91
39,6 Lyn b,1,1,0,899,,,762.8,0.134,,4978,5.2,1.7
40,61 Vir b,1,3,0,4.21487,,,5.11704,0.099,,5585.57,1.03,0.91
41,61 Vir c,1,3,0,38.0957,,,16.1139,0.068,,5585.57,1.03,0.91
42,61 Vir d,1,3,0,123.01,,,22.9,0.35,,5577,0.96,0.94
43,7 CMa b,1,2,0,,,,616.5,,,,5.2,1.44
44,7 CMa c,1,2,0,996,,,276.5121,0.08,,4826,4.87,1.34
45,70 Vir b,1,1,0,116.6884,,2380.45,2380.45,0.4007,,5545,,1.11
46,75 Cet b,2,2,0,696.62,,,787.89662,0.093,,4809,10.38,1.92
47,75 Cet c,2,2,0,2051.62,,,289.85951,0.023,,4809,10.38,1.92
48,8 UMi b,1,1,0,93.4,,,416.3573,0.06,,4847,10.3,1.44
49,81 Cet b,1,1,0,952.7,,,1684.4,0.206,,4785,11,2.4
50,91 Aqr b,3,1,0,181.4,,,1017,0.027,,4665,11,1.4
51,AB Aur b,1,1,0,,,2860.45566,2860.45566,0.4,,9770,,2.4
52,AB Pic b,1,1,0,,,4290.5,4290.5,,,,,
53,AF Lep b,1,1,0,7520,,1664.46737,1664.46737,0.47,1400,6100,1.25,1.2
54,AU Mic b,1,3,0,8.4630004,4.19,,,0.12,,,0.75,
55,AU Mic c,1,3,0,18.85882,,14.2,14.2,,,3665,0.82,0.6
56,AU Mic d,1,3,0,12.73596,,1.053,1.053,0.00305,,3678,0.74,0.51
57,BD+03 2562 b,1,1,0,481.9,,,2034.112,0.2,,4095,32.35,1.14
58,BD+14 4559 b,1,1,0,268.94,,,467.19,0.29,,5008,0.95,0.86
59,BD+15 2375 b,1,1,0,153.22,,,337.21763,0.001,,4649,8.95,1.08
60,BD+15 2940 b,1,1,0,137.48,,,352.78,0.26,,4796,14.7,1.1
61,BD+20 2457 b,1,2,0,379.63,,,6807.63,0.15,,4137,49,2.8
62,BD+20 2457 c,1,2,0,621.99,,,3963.17,0.18,,4137,49,2.8
63,BD+20 274 b,1,1,0,578.2,,,1334.886,0.21,,4296,17.3,0.8
64,BD+20 594 b,1,1,0,41.6855,2.578,22.2481,22.2481,0,,5766,1.08,1.67
65,BD+45 564 b,1,1,0,307.88,,,432.24663,0.12,,5004,,0.81
66,BD+48 738 b,1,1,0,392.6,,,289.2253,0.2,,4414,11,0.74
67,BD+48 740 b,1,1,0,733,,,540.311,0.76,,4534,10.33,1.09
68,BD+49 828 b,1,1,0,2590,,,508.5,0.35,,4943,7.6,1.52
69,BD+55 362 b,1,1,0,265.59,,,228.83645,0.27,,5012,,0.91
70,BD+60 1417 b,1,1,0,,14.684,4767.4261,4767.4261,,1303,4993,0.8,1
71,BD+63 1405 b,1,1,0,1230,,3305.41543,3305.41543,0.891,,5000,,0.82
72,BD-06 1339 b,1,2,0,3.8728,,,8.5,0,,4324,,0.7
73,BD-06 1339 c,1,2,0,125.94,,,53,0.31,,4324,,0.7
74,BD-08 2823 b,1,2,0,5.6,,,14.4,0.15,,4746,,0.74
75,BD-08 2823 c,1,2,0,237.6,,,104,0.19,,4746,,0.74
76,BD-10 3166 b,1,1,0,3.48777,,,145.56,0.019,,5393,,1.01
77,BD-11 4672 b,1,2,0,1667,,,168.44,0.05,,4475,0.52,0.57
78,BD-11 4672 c,1,2,0,74.2,,,15.37,0.4,,4550,0.64,0.65
79,BD-13 2130 b,1,1,0,714.29999,,,3108.3774,0.21,,4545,19.17,2.12
80,BD-14 3065 b,3,1,0,4.2889696,20.711,,,,1404,6736.9,2.61,
81,BD-17 63 b,1,1,0,655.57,,1639.99458,1639.99458,0.5439,,,,0.74
82,BD-210397 b,1,2,0,1891,,,214,0.1,,4051,0.75,0.68
